Time,Day,Year,Quarter,Quarter Progress,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Speed,Conditions,Class
30,2,2016,Spring,0.108108108,43,30.9,0.62,29.94,10,13.8,Overcast,Empty
30,4,2016,Spring,0.513513514,43,37.9,0.82,30.01,10,0,Clear,Empty
30,0,2016,Spring,0.932432432,62.1,57.9,0.86,29.71,10,0,Partly Cloudy,Not Busy
30,1,2015,Fall,0.27173913,57,55,0.93,30.17,10,3.5,Overcast,Empty
30,4,2015,Fall,0.608695652,64.9,61,0.87,29.64,10,18.4,Overcast,Empty
30,6,2015,Fall,0.934782609,33.1,32,0.96,30.45,4,5.8,Clear,Not Busy
30,0,2016,Winter,0.84,46.9,37,0.68,29.9,10,16.1,Scattered Clouds,Empty
30,3,2016,Spring,0.121621622,39.9,35.1,0.83,29.57,10,12.7,Overcast,Empty
30,1,2016,Spring,0.945945946,60.1,51.1,0.72,29.74,10,4.6,Clear,Not Busy
30,2,2015,Fall,0.282608696,60.1,55.9,0.86,30.11,10,3.5,Overcast,Empty
30,0,2015,Fall,0.945652174,28.9,28.9,1,30.23,1.2,0,Clear,Not Busy
30,0,2016,Winter,0.466666667,32,27,0.82,29.68,10,5.8,Clear,Empty
30,1,2016,Winter,0.853333333,59,46.9,0.64,29.89,10,13.8,Overcast,Empty
30,4,2016,Spring,0.135135135,37,21.9,0.54,29.87,10,8.1,Overcast,Empty
30,2,2016,Spring,0.959459459,55,48,0.77,29.92,10,0,Scattered Clouds,Not Busy
30,3,2015,Fall,0.293478261,51.1,48,0.89,30.14,10,0,Clear,Empty
30,1,2015,Fall,0.956521739,39,36,0.89,30.04,7,9.2,Overcast,Not Busy
30,1,2016,Winter,0.48,19,14,0.81,29.77,6,15,Light Snow,Empty
30,2,2016,Winter,0.866666667,61,57,0.87,29.84,10,9.2,Overcast,Empty
30,0,2016,Spring,0.554054054,51.1,37,0.59,29.98,10,0,Clear,Empty
30,3,2016,Spring,0.972972973,53.1,46,0.77,30.03,10,0,Clear,Not Busy
30,4,2015,Fall,0.304347826,64,59,0.84,29.93,10,9.2,Overcast,Empty
30,0,2015,Fall,0.641304348,30.9,26.1,0.82,30.32,10,0,Clear,Empty
30,2,2015,Fall,0.967391304,46,42.1,0.86,29.69,10,9.2,Clear,Not Busy
30,2,2016,Winter,0.493333333,14,3.9,0.64,29.99,10,18.4,Overcast,Empty
30,3,2016,Winter,0.88,46,39.9,0.79,30.03,10,5.8,Scattered Clouds,Empty
30,1,2016,Spring,0.567567568,50,48.9,0.96,29.93,5,10.4,Light Rain,Empty
30,4,2016,Spring,0.986486486,63,59,0.87,29.97,10,10.4,Light Rain,Empty
30,1,2015,Fall,0.652173913,37.9,33.1,0.83,30.15,10,0,Clear,Empty
