@relation 'no_zero_other_class_at_end-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,13'

@attribute Time numeric
@attribute Day numeric
@attribute Quarter {Winter,Spring,Fall,Other,Summer}
@attribute Class {Empty,'Not Busy','Moderately Busy',Busy}

@data
300,0,Winter,Empty
300,1,Winter,Empty
300,2,Winter,Empty
300,3,Winter,Empty
300,4,Winter,Empty
300,1,Winter,Empty
300,1,Spring,Empty
330,2,Spring,Empty
330,3,Spring,Empty
330,2,Fall,Empty
330,4,Spring,Empty
330,3,Fall,Empty
330,4,Fall,Empty
330,6,Spring,Empty
330,5,Fall,Empty
330,0,Spring,Empty
330,6,Fall,Empty
330,1,Spring,Empty
330,0,Fall,Empty
330,1,Winter,Empty
330,2,Spring,Empty
330,1,Fall,Empty
330,2,Winter,Empty
330,3,Spring,Empty
330,2,Fall,Empty
330,3,Winter,Empty
330,4,Spring,Empty
330,3,Fall,Empty
330,4,Winter,Empty
330,4,Fall,Empty
330,5,Winter,Empty
330,6,Winter,Empty
330,0,Winter,Empty
330,1,Winter,Empty
330,2,Winter,Empty
330,3,Winter,Empty
330,4,Winter,Empty
330,1,Spring,Empty
400,1,Fall,Empty
400,3,Spring,Empty
400,2,Fall,Empty
400,4,Spring,Empty
400,5,Spring,Empty
400,4,Fall,Empty
400,5,Fall,Empty
400,0,Spring,Empty
400,1,Spring,Empty
400,0,Fall,Empty
400,2,Spring,Empty
400,1,Fall,Empty
400,2,Winter,Empty
400,3,Spring,Empty
400,2,Fall,Empty
400,3,Winter,Empty
400,4,Spring,Empty
400,4,Winter,Empty
400,4,Fall,Empty
400,6,Winter,Empty
400,0,Winter,Empty
400,1,Winter,Empty
400,2,Winter,Empty
400,3,Winter,Empty
400,4,Winter,Empty
400,1,Spring,Empty
430,1,Fall,Empty
430,3,Spring,Empty
430,4,Spring,Empty
430,3,Fall,Empty
430,4,Fall,Empty
430,6,Spring,Empty
430,0,Spring,Empty
430,6,Fall,Empty
430,1,Spring,Empty
430,0,Fall,Empty
430,2,Spring,Empty
430,1,Fall,Empty
430,2,Winter,Empty
430,3,Spring,Empty
430,2,Fall,Empty
